日期,收盤價(還原權息),成交量
2006-10-11,19.76012420654297,219600
2006-10-12,20.225265502929688,229200
2006-10-13,20.29214096069336,192800
2006-10-16,20.35028648376465,4348800
2006-10-17,20.120609283447266,485400
2006-10-18,20.19329071044922,188400
2006-10-19,20.34737205505371,93800
2006-10-20,20.2310848236084,257000
2006-10-23,20.27469253540039,196400
2006-10-24,20.344467163085938,175600
2006-10-25,20.542160034179688,280200
2006-10-26,20.629365921020508,222200
2006-10-27,20.277606964111328,345800
2006-10-30,20.135150909423828,192400
2006-10-31,20.51017951965332,347600
2006-11-01,20.475296020507812,216800
2006-11-02,20.574129104614258,163200
2006-11-03,20.734025955200195,265600
2006-11-06,21.141033172607422,323600
2006-11-07,21.082897186279297,468800
2006-11-08,21.100339889526367,280600
2006-11-09,21.135215759277344,462200
2006-11-10,21.193357467651367,224000
2006-11-13,21.14975929260254,242600
2006-11-14,21.47244644165039,324400
2006-11-15,21.428834915161133,344400
2006-11-16,21.25442123413086,296400
2006-11-17,21.152660369873047,352800
2006-11-20,21.1148624420166,406400
2006-11-21,21.45501708984375,302000
2006-11-22,21.673051834106445,366000
2006-11-24,21.75445556640625,173600
2006-11-27,21.329999923706055,902800
2006-11-28,21.478267669677734,324000
2006-11-29,21.920166015625,351200
2006-11-30,22.013187408447266,362400
2006-12-01,21.867826461791992,620400
2006-12-04,22.315534591674805,390000
2006-12-05,22.571365356445312,520600
2006-12-06,22.356237411499023,595600
2006-12-07,22.271928787231445,365600
2006-12-08,22.228313446044922,808400
2006-12-11,22.213781356811523,251200
2006-12-12,21.96086883544922,472000
2006-12-13,22.019004821777344,323200
2006-12-14,22.382404327392578,392800
2006-12-15,22.434734344482422,387200
2006-12-18,22.312625885009766,360400
2006-12-19,22.22541046142578,702200
2006-12-20,22.36205291748047,516800
2006-12-21,22.41438102722168,504000
2006-12-22,22.42888069152832,503400
2006-12-26,22.650760650634766,920800
2006-12-27,22.896333694458008,265200
2006-12-28,22.917041778564453,432600
2006-12-29,22.896333694458008,566000
2007-01-03,23.047216415405273,1176000
2007-01-04,22.795734405517578,1115600
2007-01-05,22.15964698791504,1145800
2007-01-08,22.402246475219727,496200
2007-01-09,21.866748809814453,934600
2007-01-10,21.80461883544922,839200
2007-01-11,22.09454917907715,1155600
2007-01-12,22.41703987121582,403200
2007-01-16,22.425922393798828,1024000
2007-01-17,22.366744995117188,1346400
2007-01-18,22.248403549194336,724800
2007-01-19,22.677392959594727,998000
2007-01-22,22.656692504882812,616800
2007-01-23,23.047216415405273,847600
2007-01-24,23.257274627685547,652000
2007-01-25,22.547222137451172,1030000
2007-01-26,22.683311462402344,520000
2007-01-29,22.499876022338867,380200
2007-01-30,22.74249267578125,1012600
2007-01-31,22.914079666137695,2860200
2007-02-01,23.14484405517578,1995600
2007-02-02,23.135971069335938,650800
2007-02-05,23.135971069335938,1338200
2007-02-06,23.384496688842773,825200
2007-02-07,23.343069076538086,1913200
2007-02-08,23.3874568939209,1085600
2007-02-09,22.979169845581055,1126400
2007-02-12,22.81053352355957,557800
2007-02-13,23.20105743408203,563400
2007-02-14,23.609350204467773,588800
2007-02-15,23.603422164916992,545600
2007-02-16,23.585668563842773,413800
2007-02-20,23.701059341430664,524000
2007-02-21,23.653722763061523,530000
2007-02-22,23.79869270324707,453000
2007-02-23,23.68922233581543,501200
2007-02-26,23.644832611083984,491200
2007-02-27,21.920007705688477,2139400
2007-02-28,22.38154411315918,2332200
2007-03-01,22.115278244018555,1349000
2007-03-02,21.656688690185547,1348400
2007-03-05,21.03538703918457,2326200
2007-03-06,22.041311264038086,1362800
2007-03-07,21.819408416748047,664800
2007-03-08,22.257282257080078,1443800
2007-03-09,22.334205627441406,667400
2007-03-12,22.55609703063965,447600
2007-03-13,21.630064010620117,1809600
2007-03-14,22.03242301940918,988400
2007-03-15,22.260231018066406,464200
2007-03-16,22.073841094970703,340200
2007-03-19,22.496929168701172,488600
2007-03-20,22.71289825439453,1240200
2007-03-21,23.36379051208496,729200
2007-03-22,23.248409271240234,510000
2007-03-23,23.295734405517578,636800
2007-03-26,23.283903121948242,431200
2007-03-27,23.15667724609375,950400
2007-03-28,22.952537536621094,498400
2007-03-29,23.393373489379883,374400
2007-03-30,23.334197998046875,972400
2007-04-02,23.538341522216797,761800
2007-04-03,23.890403747558594,572800
2007-04-04,23.97028923034668,972000
2007-04-05,24.035381317138672,1741600
2007-04-09,24.177387237548828,530000
2007-04-10,24.251354217529297,382000
2007-04-11,24.18329620361328,890200
2007-04-12,24.490995407104492,434800
2007-04-13,24.570880889892578,277400
2007-04-16,24.878564834594727,456600
2007-04-17,24.789813995361328,1060800
2007-04-18,24.67443084716797,429000
2007-04-19,24.508745193481445,534400
2007-04-20,24.875614166259766,426000
2007-04-23,24.772064208984375,429200
2007-04-24,24.789813995361328,437200
2007-04-25,25.141889572143555,1247200
2007-04-26,24.80459976196289,761000
2007-04-27,24.70401382446289,507600
